variant,exit_month_et,symbol,trades,gross_pnl_dollars,gross_points,avg_trade_dollars,avg_points_per_trade,gross_return_pct_on_50k,win_rate_pct
type1_sniper,2025-04,MCL,1,-294.9999999999982,-0.5899999999999963,-294.9999999999982,-0.5899999999999963,-0.5899999999999963,0.0
type1_sniper,2025-04,MES,27,3365.625,134.625,124.65277777777777,4.986111111111111,6.73125,48.148148148148145
type1_sniper,2025-04,MGC,23,9899.374999999964,197.98749999999927,430.4076086956506,8.608152173913012,19.798749999999927,60.86956521739131
type1_sniper,2025-04,MNQ,12,-946.25,-94.625,-78.85416666666667,-7.885416666666667,-1.8925000000000003,33.33333333333333
type1_sniper,2025-04,MYM,33,3585.3125,1434.125,108.64583333333333,43.458333333333336,7.170624999999999,48.484848484848484
type1_sniper,2025-05,MCL,2,-629.9999999999991,-1.259999999999998,-314.99999999999955,-0.629999999999999,-1.259999999999998,0.0
type1_sniper,2025-05,MES,46,5348.4375,213.9375,116.27038043478261,4.650815217391305,10.696875,47.82608695652174
type1_sniper,2025-05,MGC,40,5705.624999999941,114.11249999999882,142.64062499999852,2.8528124999999704,11.411249999999882,50.0
type1_sniper,2025-05,MNQ,71,3991.875,399.1875,56.223591549295776,5.622359154929577,7.983749999999999,39.436619718309856
type1_sniper,2025-05,MYM,27,-940.625,-376.25,-34.83796296296296,-13.935185185185185,-1.88125,25.925925925925924
type1_sniper,2025-06,MCL,4,2210.0000000000045,4.420000000000009,552.5000000000011,1.1050000000000022,4.420000000000009,75.0
type1_sniper,2025-06,MES,43,-18.75,-0.75,-0.436046511627907,-0.01744186046511628,-0.03750000000000006,30.23255813953488
type1_sniper,2025-06,MGC,26,8051.249999999982,161.02499999999964,309.66346153846087,6.193269230769217,16.102499999999964,61.53846153846154
type1_sniper,2025-06,MNQ,48,886.25,88.625,18.463541666666668,1.8463541666666667,1.7725000000000004,33.33333333333333
type1_sniper,2025-06,MYM,32,2788.125,1115.25,87.12890625,34.8515625,5.57625,56.25
type1_sniper,2025-07,MCL,2,-159.9999999999966,-0.3199999999999932,-79.9999999999983,-0.1599999999999966,-0.3199999999999932,50.0
type1_sniper,2025-07,MES,32,3651.5625,146.0625,114.111328125,4.564453125,7.303125,50.0
type1_sniper,2025-07,MGC,55,8888.124999999967,177.76249999999936,161.60227272727212,3.232045454545443,17.776249999999937,56.36363636363636
type1_sniper,2025-07,MNQ,61,13301.25,1330.125,218.05327868852459,21.80532786885246,26.6025,55.73770491803278
type1_sniper,2025-07,MYM,23,3186.71875,1274.6875,138.55298913043478,55.421195652173914,6.3734375000000005,60.86956521739131
type1_sniper,2025-08,MCL,2,1359.9999999999923,2.7199999999999847,679.9999999999961,1.3599999999999923,2.7199999999999847,100.0
type1_sniper,2025-08,MES,24,860.9375,34.4375,35.872395833333336,1.4348958333333333,1.721875,33.33333333333333
type1_sniper,2025-08,MGC,47,1743.7499999999773,34.874999999999545,37.10106382978675,0.742021276595735,3.4874999999999545,38.297872340425535
type1_sniper,2025-08,MNQ,34,1418.75,141.875,41.72794117647059,4.172794117647059,2.8375000000000004,41.17647058823529
type1_sniper,2025-08,MYM,28,2930.625,1172.25,104.66517857142857,41.86607142857143,5.86125,50.0
type1_sniper,2025-09,MCL,2,-515.0000000000006,-1.0300000000000011,-257.5000000000003,-0.5150000000000006,-1.0300000000000011,0.0
type1_sniper,2025-09,MES,19,1250.0,50.0,65.78947368421052,2.6315789473684212,2.5,42.10526315789473
type1_sniper,2025-09,MGC,53,5300.624999999968,106.01249999999936,100.01179245282958,2.0002358490565917,10.601249999999936,43.39622641509434
type1_sniper,2025-09,MNQ,43,2370.625,237.0625,55.13081395348837,5.513081395348837,4.74125,44.18604651162791
type1_sniper,2025-09,MYM,22,3867.34375,1546.9375,175.78835227272728,70.3153409090909,7.7346875,63.63636363636363
type1_sniper,2025-10,MCL,4,294.9999999999981,0.5899999999999963,73.74999999999953,0.14749999999999908,0.5899999999999963,50.0
type1_sniper,2025-10,MES,37,7251.5625,290.0625,195.98817567567568,7.839527027027027,14.503125,59.45945945945946
type1_sniper,2025-10,MGC,48,336.87499999991815,6.737499999998363,7.018229166664962,0.14036458333329924,0.6737499999998358,22.916666666666664
