variant,symbol,trades,gross_pnl_dollars,gross_return_pct_on_50k,gross_points,avg_trade_dollars,median_trade_dollars,wins,losses,breakeven,best_trade_dollars,worst_trade_dollars,win_rate_pct,profit_factor
type1_sniper,MCL,29,5164.9999999999845,10.32999999999997,10.32999999999997,178.10344827586152,0.0,14,13,2,1259.999999999998,-379.999999999999,48.275862068965516,2.4131326949384375
type1_sniper,MES,402,34887.5,69.775,1395.5,86.78482587064677,0.0,173,160,69,1706.25,-850.0,43.03482587064676,2.2409959982214316
type1_sniper,MGC,489,69444.37499999965,138.8887499999993,1388.887499999993,142.01303680981525,0.0,223,191,75,2851.8749999999727,-2367.500000000018,45.603271983640084,2.468246207516248
type1_sniper,MNQ,550,65088.125,130.17624999999998,6508.8125,118.34204545454546,0.0,242,221,87,2608.125,-2082.5,44.0,2.2724329211670984
type1_sniper,MYM,317,29290.0,58.58,11716.0,92.39747634069401,0.0,150,123,44,1931.40625,-413.125,47.3186119873817,2.7620694841329523
type2_baseline,MCL,9,1864.9999999999986,3.729999999999997,3.729999999999997,207.22222222222206,195.00000000000028,5,3,1,794.9999999999945,-539.9999999999991,55.55555555555556,2.5101214574898822
type2_baseline,MES,41,-1087.5,-2.1749999999999994,-43.5,-26.524390243902438,0.0,16,19,6,606.25,-1387.5,39.02439024390244,0.8024971623155505
type2_baseline,MGC,110,20086.24999999997,40.17249999999995,401.72499999999945,182.60227272727246,0.0,52,42,16,2851.8749999999727,-1592.5000000000182,47.27272727272727,2.2777512722646347
type2_baseline,MNQ,106,32914.375,65.82875,3291.4375,310.51297169811323,0.0,51,43,12,3177.5,-1870.0,48.113207547169814,3.0707376533501103
type2_baseline,MYM,30,909.84375,1.8196875000000001,363.9375,30.328125,-2.5,13,15,2,663.90625,-365.625,43.333333333333336,1.280924353531455
