variant,symbol,trades,gross_pnl_dollars,gross_return_pct_on_50k,gross_points,avg_trade_dollars,median_trade_dollars,wins,losses,breakeven,best_trade_dollars,worst_trade_dollars,win_rate_pct,profit_factor
type1_sniper,MCL,38,3414.9999999999873,6.829999999999977,6.829999999999977,89.86842105263125,-59.99999999999872,16,19,3,1259.999999999998,-710.0000000000009,42.10526315789473,1.519786910197868
type1_sniper,MES,483,44675.0,89.35,1787.0,92.49482401656314,0.0,215,187,81,1706.25,-850.0,44.51345755693582,2.3227239082161364
type1_sniper,MGC,548,76971.2499999995,153.94249999999903,1539.4249999999902,140.45848540145894,0.0,245,218,85,2851.8749999999727,-2367.500000000018,44.70802919708029,2.3691079686944043
type1_sniper,MNQ,613,73722.5,147.445,7372.25,120.26508972267537,0.0,266,252,95,2608.125,-2082.5,43.3931484502447,2.2287083333333335
type1_sniper,MYM,367,32010.46875,64.0209375,12804.1875,87.22198569482289,0.0,170,148,49,1931.40625,-530.625,46.321525885558586,2.585559717664541
type2_baseline,MCL,11,1095.0000000000061,2.190000000000012,2.190000000000012,99.5454545454551,0.0,5,5,1,794.9999999999945,-539.9999999999991,45.45454545454545,1.5461346633416522
type2_baseline,MES,54,3896.875,7.793749999999996,155.875,72.16435185185185,0.0,22,26,6,1862.5,-1387.5,40.74074074074074,1.4948412698412699
type2_baseline,MGC,122,13828.749999999993,27.65749999999998,276.5749999999998,113.35040983606551,0.0,53,51,18,2851.8749999999727,-2367.500000000018,43.44262295081967,1.614406309008111
type2_baseline,MNQ,132,46549.375,93.09875000000001,4654.9375,352.6467803030303,0.0,65,53,14,3177.5,-1870.0,49.24242424242424,3.269870778983299
type2_baseline,MYM,35,2411.09375,4.8221875,964.4375,68.88839285714286,0.0,16,17,2,792.5,-365.625,45.714285714285715,1.6749037788663401
