session_date,symbol,trades,gross_pnl_dollars,gross_points,avg_trade_dollars,win_rate_pct,exit_month_et,cumulative_pnl_dollars
2025-09-24,MYM,1,-377.9017857142935,-151.1607142857174,-377.9017857142935,0.0,2025-09,-377.9017857142935
2025-09-30,MES,2,368.75,14.75,184.375,50.0,2025-09,368.75
2025-09-30,MGC,2,550.0,11.0,275.0,50.0,2025-09,550.0
2025-09-30,MYM,3,333.75,133.5,111.25,66.66666666666666,2025-09,-44.15178571429351
2025-10-01,MES,2,268.75,10.75,134.375,50.0,2025-10,637.5
2025-10-02,MES,1,-250.0,-10.0,-250.0,0.0,2025-10,387.5
2025-10-02,MGC,1,-192.49999999999545,-3.849999999999909,-192.49999999999545,0.0,2025-10,357.50000000000455
2025-10-02,MYM,2,560.625,224.25,280.3125,100.0,2025-10,516.4732142857065
2025-10-05,MES,1,-262.5,-10.5,-262.5,0.0,2025-10,125.0
2025-10-05,MGC,6,1380.0357142857365,27.60071428571473,230.00595238095607,66.66666666666666,2025-10,1737.535714285741
2025-10-05,MYM,2,-4.375,-1.75,-2.1875,50.0,2025-10,512.0982142857065
2025-10-06,MGC,1,-310.19642857143026,-6.203928571428605,-310.19642857143026,0.0,2025-10,1427.3392857143108
2025-10-06,NQ,2,257.5,25.75,128.75,50.0,2025-10,257.5
2025-10-07,MGC,4,3529.321428571461,70.58642857142922,882.3303571428653,100.0,2025-10,4956.660714285772
2025-10-09,MES,2,1374.5982142856974,54.983928571427896,687.2991071428487,100.0,2025-10,1499.5982142856974
2025-10-09,MYM,2,565.625,226.25,282.8125,100.0,2025-10,1077.7232142857065
2025-10-09,NQ,3,2117.7500000000146,211.77500000000146,705.9166666666715,66.66666666666666,2025-10,2375.2500000000146
2025-10-12,MGC,3,3292.5714285714093,65.85142857142819,1097.523809523803,100.0,2025-10,8249.232142857181
2025-10-13,MGC,1,4450.0,89.0,4450.0,100.0,2025-10,12699.232142857181
2025-10-13,MYM,2,217.5,87.0,108.75,50.0,2025-10,1295.2232142857065
2025-10-14,MGC,3,138.857142857114,2.7771428571422803,46.28571428570467,33.33333333333333,2025-10,12838.089285714295
2025-10-15,MGC,1,-207.50000000002728,-4.150000000000546,-207.50000000002728,0.0,2025-10,12630.589285714268
2025-10-15,MYM,2,-436.25,-174.5,-218.125,0.0,2025-10,858.9732142857065
2025-10-16,MES,4,2727.3214285714403,109.09285714285761,681.8303571428601,75.0,2025-10,4226.919642857138
2025-10-16,MGC,2,970.0000000000273,19.400000000000546,485.00000000001364,100.0,2025-10,13600.589285714295
2025-10-16,MYM,2,232.5,93.0,116.25,50.0,2025-10,1091.4732142857065
2025-10-16,NQ,3,-988.6964285714205,-98.86964285714205,-329.5654761904735,33.33333333333333,2025-10,1386.553571428594
2025-10-20,MES,1,-275.0,-11.0,-275.0,0.0,2025-10,3951.9196428571377
2025-10-20,NQ,1,-295.14285714285506,-29.514285714285503,-295.14285714285506,0.0,2025-10,1091.410714285739
2025-10-21,MYM,2,8.125,3.25,4.0625,50.0,2025-10,1099.5982142857065
2025-10-22,MES,1,-262.5,-10.5,-262.5,0.0,2025-10,3689.4196428571377
2025-10-22,NQ,1,-270.0,-27.0,-270.0,0.0,2025-10,821.410714285739
2025-10-23,MES,2,768.75,30.75,384.375,100.0,2025-10,4458.169642857138
2025-10-23,MGC,2,419.9999999999818,8.399999999999636,209.9999999999909,50.0,2025-10,14020.589285714277
2025-10-23,MYM,2,822.5,329.0,411.25,100.0,2025-10,1922.0982142857065
2025-10-23,NQ,4,3070.0,307.0,767.5,100.0,2025-10,3891.4107142857392
2025-10-26,MES,2,762.5,30.5,381.25,100.0,2025-10,5220.669642857138
2025-10-26,MGC,2,4900.0,98.0,2450.0,100.0,2025-10,18920.589285714275
2025-10-26,MYM,3,-208.75,-83.5,-69.58333333333333,33.33333333333333,2025-10,1713.3482142857065
2025-10-26,NQ,5,897.5,89.75,179.5,60.0,2025-10,4788.910714285739
2025-10-27,MGC,3,123.2321428571596,2.4646428571431933,41.077380952386534,33.33333333333333,2025-10,19043.82142857144
2025-10-28,MES,2,756.25,30.25,378.125,100.0,2025-10,5976.919642857138
2025-10-28,NQ,3,675.4375000000073,67.54375000000073,225.14583333333576,66.66666666666666,2025-10,5464.3482142857465
2025-10-29,MES,1,-275.0,-11.0,-275.0,0.0,2025-10,5701.919642857138
2025-10-29,NQ,2,357.5,35.75,178.75,50.0,2025-10,5821.8482142857465
2025-10-30,NQ,3,-105.15178571429715,-10.515178571429715,-35.05059523809905,33.33333333333333,2025-10,5716.696428571449
2025-11-02,MYM,1,-189.375,-75.75,-189.375,0.0,2025-11,1523.9732142857065
2025-11-02,NQ,1,-280.0,-28.0,-280.0,0.0,2025-11,5436.696428571449
2025-11-04,MES,3,5.9598214285642825,0.2383928571425713,1.986607142854761,33.33333333333333,2025-11,5707.879464285702
2025-11-05,MGC,1,290.0000000000091,5.800000000000182,290.0000000000091,100.0,2025-11,19333.821428571446
2025-11-05,MYM,2,265.0,106.0,132.5,50.0,2025-11,1788.9732142857065
2025-11-06,MES,1,-339.2633928571513,-13.570535714286052,-339.2633928571513,0.0,2025-11,5368.616071428551
2025-11-06,MGC,1,0.0,0.0,0.0,0.0,2025-11,19333.821428571446
2025-11-06,MYM,3,858.125,343.25,286.0416666666667,66.66666666666666,2025-11,2647.0982142857065
2025-11-06,NQ,5,5115.187499999993,511.5187499999993,1023.0374999999985,60.0,2025-11,10551.883928571442
2025-11-10,MGC,4,909.9999999999909,18.199999999999818,227.49999999999773,50.0,2025-11,20243.82142857144
2025-11-10,NQ,2,397.5,39.75,198.75,50.0,2025-11,10949.383928571442
2025-11-11,MES,2,300.0,12.0,150.0,50.0,2025-11,5668.616071428551
