side,setup_type,bridge_type,entry_variant,setup_tier,planned_entry_price,planned_stop_price,planned_target_price,partial_target_price,runner_target_price,stop_points,tp_points,planned_rr,entry_price,exit_price,entry_time,exit_time,return_pct,pnl,symbol,exchange,timeframe,report_contracts,dollars_per_point,entry_time_et,exit_time_et,entry_time_et_naive,exit_time_et_naive,entry_month_et,exit_month_et,calendar_exit_date_et,exit_apex_session_date,realized_points,gross_pnl_dollars_dynamic,planned_target_dollars_dynamic
SHORT,NYAM_CONTINUATION,MSS,PULLBACK_1M,A,46239.0,46390.16071428572,45983.928571428565,46119.33928571428,45983.928571428565,151.1607142857174,255.0714285714348,1.6874187832250507,46239.0,46390.16071428572,2025-09-25 13:41:00,2025-09-25 14:10:00,-0.003269117288127177,-302.3214285714348,MYM,tradovate,1m,5,2.5,2025-09-25 09:41:00-04:00,2025-09-25 10:10:00-04:00,2025-09-25 09:41:00,2025-09-25 10:10:00,2025-09,2025-09,2025-09-25,2025-09-24,-151.1607142857174,-377.9017857142935,637.678571428587
SHORT,ASIA_CONTINUATION,iFVG,PULLBACK_1M,B,46495.0,46571.75,46346.75,46421.75,46346.75,76.75,148.25,1.9315960912052117,46496.0,46417.0,2025-10-01 03:05:00,2025-10-01 06:46:00,0.001699070887818288,79.0,MYM,tradovate,1m,5,2.5,2025-09-30 23:05:00-04:00,2025-10-01 02:46:00-04:00,2025-09-30 23:05:00,2025-10-01 02:46:00,2025-09,2025-10,2025-10-01,2025-09-30,79.0,197.5,370.625
SHORT,LONDON_CONTINUATION,iFVG,PULLBACK_1M,A,6701.25,6712.0,6680.0,6692.0,6680.0,10.75,21.25,1.9767441860465116,6701.0,6686.25,2025-10-01 06:34:00,2025-10-01 06:48:00,0.0022011640053722914,103.25,MES,tradovate,1m,5,25.0,2025-10-01 02:34:00-04:00,2025-10-01 02:48:00-04:00,2025-10-01 02:34:00,2025-10-01 02:48:00,2025-10,2025-10,2025-10-01,2025-09-30,14.75,368.75,531.25
SHORT,ASIA_CONTINUATION,iFVG,PULLBACK_1M,B,46495.0,46571.75,46346.75,46421.75,46346.75,76.75,148.25,1.9315960912052117,46496.0,46346.75,2025-10-01 03:05:00,2025-10-01 06:58:00,0.003209953544390909,149.25,MYM,tradovate,1m,5,2.5,2025-09-30 23:05:00-04:00,2025-10-01 02:58:00-04:00,2025-09-30 23:05:00,2025-10-01 02:58:00,2025-09,2025-10,2025-10-01,2025-09-30,149.25,373.125,370.625
LONG,ASIA_CONTINUATION,iFVG,PULLBACK_1M,B,3890.95,3879.9003571428575,3922.8,3901.999642857142,3922.8,11.049642857142317,31.850000000000364,2.882446103623433,3890.7,3901.7,2025-10-01 06:42:00,2025-10-01 07:39:00,0.0028272547356515965,132.0,MGC,tradovate,1m,5,50.0,2025-10-01 02:42:00-04:00,2025-10-01 03:39:00-04:00,2025-10-01 02:42:00,2025-10-01 03:39:00,2025-10,2025-10,2025-10-01,2025-09-30,11.0,550.0,1592.5000000000182
SHORT,LONDON_CONTINUATION,iFVG,PULLBACK_1M,A,6701.25,6712.0,6680.0,6692.0,6680.0,10.75,21.25,1.9767441860465116,6701.0,6701.0,2025-10-01 06:34:00,2025-10-01 09:09:00,-0.0,-0.0,MES,tradovate,1m,5,25.0,2025-10-01 02:34:00-04:00,2025-10-01 05:09:00-04:00,2025-10-01 02:34:00,2025-10-01 05:09:00,2025-10,2025-10,2025-10-01,2025-09-30,0.0,0.0,531.25
SHORT,LONDON_CONTINUATION,C2C3,PULLBACK_1M,A,46359.0,46456.75,46231.75,46306.75,46231.75,97.75,127.25,1.3017902813299234,46362.0,46456.75,2025-10-01 07:35:00,2025-10-01 09:13:00,-0.002043699581553815,-189.5,MYM,tradovate,1m,5,2.5,2025-10-01 03:35:00-04:00,2025-10-01 05:13:00-04:00,2025-10-01 03:35:00,2025-10-01 05:13:00,2025-10,2025-10,2025-10-01,2025-09-30,-94.75,-236.875,318.125
LONG,ASIA_CONTINUATION,iFVG,PULLBACK_1M,B,3890.95,3879.9003571428575,3922.8,3901.999642857142,3922.8,11.049642857142317,31.850000000000364,2.882446103623433,3890.7,3890.7,2025-10-01 06:42:00,2025-10-01 13:15:00,0.0,0.0,MGC,tradovate,1m,5,50.0,2025-10-01 02:42:00-04:00,2025-10-01 09:15:00-04:00,2025-10-01 02:42:00,2025-10-01 09:15:00,2025-10,2025-10,2025-10-01,2025-09-30,0.0,0.0,1592.5000000000182
LONG,ASIA_CONTINUATION,iFVG,PULLBACK_1M,B,6764.0,6753.5,6783.5,6773.5,6783.5,10.5,19.5,1.8571428571428572,6764.0,6774.75,2025-10-02 00:25:00,2025-10-02 08:23:00,0.0015892962743937478,75.25,MES,tradovate,1m,5,25.0,2025-10-01 20:25:00-04:00,2025-10-02 04:23:00-04:00,2025-10-01 20:25:00,2025-10-02 04:23:00,2025-10,2025-10,2025-10-02,2025-10-01,10.75,268.75,487.5
LONG,ASIA_CONTINUATION,iFVG,PULLBACK_1M,B,6764.0,6753.5,6783.5,6773.5,6783.5,10.5,19.5,1.8571428571428572,6764.0,6764.0,2025-10-02 00:25:00,2025-10-02 13:43:00,0.0,0.0,MES,tradovate,1m,5,25.0,2025-10-01 20:25:00-04:00,2025-10-02 09:43:00-04:00,2025-10-01 20:25:00,2025-10-02 09:43:00,2025-10,2025-10,2025-10-02,2025-10-01,0.0,0.0,487.5
