side,setup_type,bridge_type,entry_variant,setup_tier,planned_entry_price,planned_stop_price,planned_target_price,partial_target_price,runner_target_price,stop_points,tp_points,planned_rr,entry_price,exit_price,entry_time,exit_time,return_pct,pnl,symbol,exchange,timeframe,report_contracts,dollars_per_point,entry_time_et,exit_time_et,entry_time_et_naive,exit_time_et_naive,entry_month_et,exit_month_et,calendar_exit_date_et,exit_apex_session_date,realized_points,gross_pnl_dollars_dynamic,planned_target_dollars_dynamic,entry_in_apex_hours,exit_in_apex_hours,apex_hours_ok,forced_flat_before_close_ok
SHORT,NYAM_CONTINUATION,MSS,PULLBACK_1M,A,46239.0,46390.16071428572,45983.928571428565,46119.33928571428,45983.928571428565,151.1607142857174,255.0714285714348,1.6874187832250507,46239.0,46390.16071428572,2025-09-25 13:41:00,2025-09-25 14:10:00,-0.003269117288127177,-302.3214285714348,MYM,tradovate,1m,5,2.5,2025-09-25 09:41:00-04:00,2025-09-25 10:10:00-04:00,2025-09-25 09:41:00,2025-09-25 10:10:00,2025-09,2025-09,2025-09-25,2025-09-24,-151.1607142857174,-377.9017857142935,637.678571428587,True,True,True,True
SHORT,LONDON_CONTINUATION,iFVG,PULLBACK_1M,A,6701.25,6712.0,6680.0,6692.0,6680.0,10.75,21.25,1.9767441860465116,6701.0,6686.25,2025-10-01 06:34:00,2025-10-01 06:48:00,0.0022011640053722914,103.25,MES,tradovate,1m,5,25.0,2025-10-01 02:34:00-04:00,2025-10-01 02:48:00-04:00,2025-10-01 02:34:00,2025-10-01 02:48:00,2025-10,2025-10,2025-10-01,2025-09-30,14.75,368.75,531.25,True,True,True,True
SHORT,LONDON_CONTINUATION,MSS,PULLBACK_1M,A,46458.0,46533.75,46308.75,46383.75,46308.75,75.75,149.25,1.9702970297029703,46458.0,46378.0,2025-10-01 06:24:00,2025-10-01 06:48:00,0.0017219854492229736,80.0,MYM,tradovate,1m,5,2.5,2025-10-01 02:24:00-04:00,2025-10-01 02:48:00-04:00,2025-10-01 02:24:00,2025-10-01 02:48:00,2025-10,2025-10,2025-10-01,2025-09-30,80.0,200.0,373.125,True,True,True,True
LONG,ASIA_CONTINUATION,iFVG,PULLBACK_1M,B,3890.95,3879.9003571428575,3922.8,3901.999642857142,3922.8,11.049642857142317,31.850000000000364,2.882446103623433,3890.7,3901.7,2025-10-01 06:42:00,2025-10-01 07:39:00,0.0028272547356515965,132.0,MGC,tradovate,1m,5,50.0,2025-10-01 02:42:00-04:00,2025-10-01 03:39:00-04:00,2025-10-01 02:42:00,2025-10-01 03:39:00,2025-10,2025-10,2025-10-01,2025-09-30,11.0,550.0,1592.5000000000182,True,True,True,True
SHORT,LONDON_CONTINUATION,iFVG,PULLBACK_1M,A,6701.25,6712.0,6680.0,6692.0,6680.0,10.75,21.25,1.9767441860465116,6701.0,6701.0,2025-10-01 06:34:00,2025-10-01 09:09:00,-0.0,-0.0,MES,tradovate,1m,5,25.0,2025-10-01 02:34:00-04:00,2025-10-01 05:09:00-04:00,2025-10-01 02:34:00,2025-10-01 05:09:00,2025-10,2025-10,2025-10-01,2025-09-30,0.0,0.0,531.25,True,True,True,True
SHORT,LONDON_CONTINUATION,MSS,PULLBACK_1M,A,46458.0,46533.75,46308.75,46383.75,46308.75,75.75,149.25,1.9702970297029703,46458.0,46458.0,2025-10-01 06:24:00,2025-10-01 09:13:00,-0.0,-0.0,MYM,tradovate,1m,5,2.5,2025-10-01 02:24:00-04:00,2025-10-01 05:13:00-04:00,2025-10-01 02:24:00,2025-10-01 05:13:00,2025-10,2025-10,2025-10-01,2025-09-30,0.0,0.0,373.125,True,True,True,True
LONG,ASIA_CONTINUATION,iFVG,PULLBACK_1M,B,3890.95,3879.9003571428575,3922.8,3901.999642857142,3922.8,11.049642857142317,31.850000000000364,2.882446103623433,3890.7,3890.7,2025-10-01 06:42:00,2025-10-01 13:15:00,0.0,0.0,MGC,tradovate,1m,5,50.0,2025-10-01 02:42:00-04:00,2025-10-01 09:15:00-04:00,2025-10-01 02:42:00,2025-10-01 09:15:00,2025-10,2025-10,2025-10-01,2025-09-30,0.0,0.0,1592.5000000000182,True,True,True,True
LONG,ASIA_CONTINUATION,iFVG,PULLBACK_1M,B,6767.25,6756.25,6786.25,6776.25,6786.25,11.0,19.0,1.7272727272727273,6767.25,6778.5,2025-10-02 06:44:00,2025-10-02 12:10:00,0.0016624182644353613,78.75,MES,tradovate,1m,5,25.0,2025-10-02 02:44:00-04:00,2025-10-02 08:10:00-04:00,2025-10-02 02:44:00,2025-10-02 08:10:00,2025-10,2025-10,2025-10-02,2025-10-01,11.25,281.25,475.0,True,True,True,True
LONG,ASIA_CONTINUATION,iFVG,PULLBACK_1M,B,6767.25,6756.25,6786.25,6776.25,6786.25,11.0,19.0,1.7272727272727273,6767.25,6767.25,2025-10-02 06:44:00,2025-10-02 13:41:00,0.0,0.0,MES,tradovate,1m,5,25.0,2025-10-02 02:44:00-04:00,2025-10-02 09:41:00-04:00,2025-10-02 02:44:00,2025-10-02 09:41:00,2025-10,2025-10,2025-10-02,2025-10-01,0.0,0.0,475.0,True,True,True,True
LONG,LONDON_CONTINUATION,iFVG,PULLBACK_1M,A,3886.2,3882.15,3922.8,3890.15,3922.8,4.049999999999727,36.600000000000364,9.037037037037736,3886.0,3882.15,2025-10-03 07:31:00,2025-10-03 09:17:00,-0.0009907359752958644,-96.24999999999773,MGC,tradovate,1m,5,50.0,2025-10-03 03:31:00-04:00,2025-10-03 05:17:00-04:00,2025-10-03 03:31:00,2025-10-03 05:17:00,2025-10,2025-10,2025-10-03,2025-10-02,-3.849999999999909,-192.49999999999545,1830.0000000000182,True,True,True,True
LONG,ASIA_CONTINUATION,iFVG,PULLBACK_1M,B,6782.5,6772.5,6802.5,6792.5,6802.5,10.0,20.0,2.0,6782.5,6772.5,2025-10-03 06:23:00,2025-10-03 11:58:00,-0.0014743826022852735,-140.0,MES,tradovate,1m,5,25.0,2025-10-03 02:23:00-04:00,2025-10-03 07:58:00-04:00,2025-10-03 02:23:00,2025-10-03 07:58:00,2025-10,2025-10,2025-10-03,2025-10-02,-10.0,-250.0,500.0,True,True,True,True
