exit_date_et,trades,pnl_dollars,gross_points,avg_trade_dollars,win_rate_pct,month_et,is_green_day,is_red_day,soft_loss_cap_breached
2025-10-06,1,-146.60714285713766,-14.660714285713766,-146.60714285713766,0.0,2025-10,False,True,False
2025-10-07,2,132.5,13.25,66.25,50.0,2025-10,True,False,False
2025-10-09,1,-165.12500000000728,-16.512500000000728,-165.12500000000728,0.0,2025-10,False,True,False
2025-10-10,2,-785.0,-78.5,-392.5,0.0,2025-10,False,True,False
2025-10-16,1,-275.0,-27.5,-275.0,0.0,2025-10,False,True,False
2025-10-17,2,340.0,34.0,170.0,50.0,2025-10,True,False,False
2025-10-21,1,-290.9285714285579,-29.09285714285579,-290.9285714285579,0.0,2025-10,False,True,False
2025-10-22,1,-140.0,-14.0,-140.0,0.0,2025-10,False,True,False
2025-10-23,2,130.0,13.0,65.0,50.0,2025-10,True,False,False
2025-10-24,4,184.64285714286234,18.464285714286234,46.160714285715585,50.0,2025-10,True,False,False
2025-10-26,1,177.5,17.75,177.5,100.0,2025-10,True,False,False
2025-10-27,6,803.9642857142826,80.39642857142826,133.9940476190471,50.0,2025-10,True,False,False
2025-10-28,3,597.5,59.75,199.16666666666666,66.66666666666666,2025-10,True,False,False
2025-10-29,5,429.6607142857101,42.96607142857101,85.93214285714203,40.0,2025-10,True,False,False
2025-10-30,1,-277.5,-27.75,-277.5,0.0,2025-10,False,True,False
2025-10-31,2,-364.7857142857174,-36.47857142857174,-182.3928571428587,0.0,2025-10,False,True,False
2025-11-02,1,-245.55357142857247,-24.555357142857247,-245.55357142857247,0.0,2025-11,False,True,False
2025-11-06,3,335.0,33.5,111.66666666666667,33.33333333333333,2025-11,True,False,False
2025-11-07,2,4890.0,489.0,2445.0,100.0,2025-11,True,False,False
