side,setup_type,bridge_type,setup_tier,entry_variant,planned_entry_price,planned_stop_price,planned_target_price,partial_target_price,runner_target_price,stop_points,tp_points,planned_rr,entry_price,exit_price,realized_points,realized_dollars_5_mnq,return_pct,entry_time_et_naive,exit_time_et_naive,entry_month_et,exit_month_et
LONG,ASIA_CONTINUATION,C2C3,B,PULLBACK_1M,25142.25,25127.839285714286,25241.5,25156.660714285714,25241.5,14.410714285713766,99.25,6.887236679058489,25142.5,25127.839285714286,-14.660714285713766,-146.60714285713766,-0.0005831048736487654,2025-10-06 20:18:00,2025-10-06 20:45:00,2025-10,2025-10
LONG,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,25161.0,25149.0,25241.5,25173.0,25241.5,12.0,80.5,6.708333333333333,25161.25,25174.5,13.25,132.5,0.0005266034080182447,2025-10-06 23:19:00,2025-10-07 00:11:00,2025-10,2025-10
LONG,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,25161.0,25149.0,25241.5,25173.0,25241.5,12.0,80.5,6.708333333333333,25161.25,25161.25,0.0,0.0,0.0,2025-10-06 23:19:00,2025-10-07 02:20:00,2025-10,2025-10
LONG,ASIA_CONTINUATION,C2C3,B,PULLBACK_1M,25337.75,25320.7375,25394.0,25352.7625,25394.0,17.012500000000728,56.25,3.3063923585597412,25337.25,25320.7375,-16.512500000000728,-165.12500000000728,-0.0006517084529694683,2025-10-09 20:54:00,2025-10-09 23:46:00,2025-10,2025-10
SHORT,NYPM_CONTINUATION,C2C3,A,PULLBACK_1M,24668.75,24709.75,24619.75,24649.75,24619.75,41.0,49.0,1.1951219512195121,24669.25,24709.75,-40.5,-405.0,-0.001641719955004728,2025-10-10 13:47:00,2025-10-10 13:48:00,2025-10,2025-10
SHORT,NYPM_CONTINUATION,C2C3,A,PULLBACK_1M,24580.75,24618.0,24528.0,24558.0,24528.0,37.25,52.75,1.4161073825503356,24580.0,24618.0,-38.0,-380.0,-0.0015459723352317933,2025-10-10 14:54:00,2025-10-10 15:00:00,2025-10,2025-10
SHORT,NYPM_CONTINUATION,iFVG,B,PULLBACK_1M,24696.5,24726.5,24636.5,24666.5,24636.5,30.0,60.0,2.0,24699.0,24726.5,-27.5,-275.0,-0.0011134054010284444,2025-10-16 14:13:00,2025-10-16 14:22:00,2025-10,2025-10
SHORT,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,24638.75,24668.75,24410.0,24608.75,24410.0,30.0,228.75,7.625,24638.75,24604.75,34.0,340.0,0.0013799401349500195,2025-10-17 02:22:00,2025-10-17 02:37:00,2025-10,2025-10
SHORT,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,24638.75,24668.75,24410.0,24608.75,24410.0,30.0,228.75,7.625,24638.75,24638.75,0.0,0.0,-0.0,2025-10-17 02:22:00,2025-10-17 07:09:00,2025-10,2025-10
LONG,ASIA_CONTINUATION,C2C3,B,PULLBACK_1M,25339.0,25309.907142857144,25384.5,25359.092857142856,25384.5,29.09285714285579,45.5,1.5639577706850714,25339.0,25309.907142857144,-29.09285714285579,-290.9285714285579,-0.0011481454336341734,2025-10-20 20:28:00,2025-10-21 00:55:00,2025-10,2025-10
LONG,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,25101.25,25087.25,25348.5,25111.25,25348.5,14.0,247.25,17.660714285714285,25101.25,25087.25,-14.0,-140.0,-0.0005577411483491668,2025-10-22 22:17:00,2025-10-22 23:40:00,2025-10,2025-10
LONG,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,25305.75,25293.75,25355.75,25317.75,25355.75,12.0,50.0,4.166666666666667,25305.25,25318.25,13.0,130.0,0.0005137273885853499,2025-10-23 21:03:00,2025-10-23 21:15:00,2025-10,2025-10
LONG,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,25305.75,25293.75,25355.75,25317.75,25355.75,12.0,50.0,4.166666666666667,25305.25,25305.25,0.0,0.0,0.0,2025-10-23 21:03:00,2025-10-23 22:44:00,2025-10,2025-10
LONG,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,25328.75,25316.75,25548.75,25340.75,25548.75,12.0,220.0,18.333333333333332,25328.5,25344.25,15.75,157.5,0.0006218291647748231,2025-10-24 00:14:00,2025-10-24 01:27:00,2025-10,2025-10
LONG,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,25328.75,25316.75,25548.75,25340.75,25548.75,12.0,220.0,18.333333333333332,25328.5,25328.5,0.0,0.0,0.0,2025-10-24 00:14:00,2025-10-24 04:05:00,2025-10,2025-10
LONG,LONDON_CONTINUATION,C2C3,A,PULLBACK_1M,25368.75,25347.714285714286,25548.75,25389.785714285714,25548.75,21.035714285713766,180.0,8.556876061120755,25368.5,25392.0,23.5,235.0,0.0009263456648993529,2025-10-24 04:48:00,2025-10-24 05:40:00,2025-10,2025-10
LONG,LONDON_CONTINUATION,C2C3,A,PULLBACK_1M,25368.75,25347.714285714286,25548.75,25389.785714285714,25548.75,21.035714285713766,180.0,8.556876061120755,25368.5,25347.714285714286,-20.785714285713766,-207.85714285713766,-0.0008193513327833246,2025-10-24 04:48:00,2025-10-24 08:30:00,2025-10,2025-10
LONG,ASIA_CONTINUATION,C2C3,B,PULLBACK_1M,25726.5,25710.301785714284,25773.5,25736.698214285716,25773.5,16.19821428571595,47.0,2.90155440414478,25726.0,25743.75,17.75,177.5,0.0006899634610899597,2025-10-26 21:23:00,2025-10-26 22:47:00,2025-10,2025-10
