side,setup_type,bridge_type,setup_tier,entry_variant,planned_entry_price,planned_stop_price,planned_target_price,partial_target_price,runner_target_price,stop_points,tp_points,planned_rr,entry_price,exit_price,realized_points,realized_dollars_5_mnq,return_pct,pnl,cycle_realized_pnl,best_day_pnl_in_cycle,consistency_ratio,qualifying_days_count,prop_daily_loss_limit,prop_max_drawdown_limit,prop_qualifying_day_target,entry_time_et_naive,exit_time_et_naive,entry_month_et,exit_month_et
LONG,,,,PULLBACK_1M,,,,,,,,,19040.0,19014.0,-26.0,-260.0,,-130.0,-130.0,0.0,0.0,0,-1000.0,-2000.0,150.0,2025-04-13 22:16:00,2025-04-13 23:09:00,2025-04,2025-04
LONG,,,,PULLBACK_1M,,,,,,,,,19104.5,19146.0,41.5,415.0,,83.0,-47.0,83.0,1.7659574468085106,0,-1000.0,-2000.0,150.0,2025-04-14 02:11:00,2025-04-14 03:50:00,2025-04,2025-04
LONG,,,,PULLBACK_1M,,,,,,,,,19104.5,19104.5,0.0,0.0,,0.0,-47.0,83.0,1.7659574468085106,0,-1000.0,-2000.0,150.0,2025-04-14 02:11:00,2025-04-14 05:17:00,2025-04,2025-04
LONG,,,,PULLBACK_1M,,,,,,,,,18726.25,18690.5,-35.75,-357.5,,-178.75,-225.75,83.0,0.36766334440753046,0,-1000.0,-2000.0,150.0,2025-04-23 00:32:00,2025-04-23 01:14:00,2025-04,2025-04
LONG,,,,PULLBACK_1M,,,,,,,,,19277.25,19259.75,-17.5,-175.0,,-87.5,-313.25,83.0,0.2649640861931365,0,-1000.0,-2000.0,150.0,2025-04-24 15:03:00,2025-04-24 15:04:00,2025-04,2025-04
LONG,,,,PULLBACK_1M,,,,,,,,,19457.75,19431.75,-26.0,-260.0,,-130.0,-443.25,83.0,0.18725324309080654,0,-1000.0,-2000.0,150.0,2025-04-24 20:54:00,2025-04-24 21:20:00,2025-04,2025-04
LONG,,,,PULLBACK_1M,,,,,,,,,19385.0,19413.75,28.75,287.5,,57.5,-385.75,83.0,0.2151652624756967,0,-1000.0,-2000.0,150.0,2025-04-24 22:59:00,2025-04-24 23:23:00,2025-04,2025-04
LONG,,,,PULLBACK_1M,,,,,,,,,19385.0,19469.75,84.75,847.5,,254.25,-131.5,254.25,1.9334600760456273,1,-1000.0,-2000.0,150.0,2025-04-24 22:59:00,2025-04-25 00:06:00,2025-04,2025-04
LONG,,,,PULLBACK_1M,,,,,,,,,19538.5,19564.25,25.75,257.5,,51.5,-80.0,254.25,3.178125,1,-1000.0,-2000.0,150.0,2025-04-29 02:07:00,2025-04-29 02:44:00,2025-04,2025-04
LONG,,,,PULLBACK_1M,,,,,,,,,19538.5,19538.5,0.0,0.0,,0.0,-80.0,254.25,3.178125,1,-1000.0,-2000.0,150.0,2025-04-29 02:07:00,2025-04-29 06:33:00,2025-04,2025-04
LONG,,,,PULLBACK_1M,,,,,,,,,19666.25,19631.75,-34.5,-345.0,,-172.5,-252.5,254.25,1.006930693069307,1,-1000.0,-2000.0,150.0,2025-04-29 14:24:00,2025-04-29 15:17:00,2025-04,2025-04
LONG,,,,PULLBACK_1M,,,,,,,,,19563.0,19588.25,25.25,252.5,,50.5,-202.0,254.25,1.2586633663366336,1,-1000.0,-2000.0,150.0,2025-04-30 02:58:00,2025-04-30 03:14:00,2025-04,2025-04
LONG,,,,PULLBACK_1M,,,,,,,,,19563.0,19563.0,0.0,0.0,,0.0,-202.0,254.25,1.2586633663366336,1,-1000.0,-2000.0,150.0,2025-04-30 02:58:00,2025-04-30 06:30:00,2025-04,2025-04
LONG,,,,PULLBACK_1M,,,,,,,,,19944.5,19916.75,-27.75,-277.5,,-138.75,-340.75,254.25,0.7461482024944974,1,-1000.0,-2000.0,150.0,2025-05-01 00:35:00,2025-05-01 02:00:00,2025-05,2025-05
LONG,,,,PULLBACK_1M,,,,,,,,,19986.0,19953.5,-32.5,-325.0,,-162.5,-503.25,254.25,0.5052160953800298,1,-1000.0,-2000.0,150.0,2025-05-02 00:05:00,2025-05-02 01:27:00,2025-05,2025-05
LONG,,,,PULLBACK_1M,,,,,,,,,20256.75,20229.75,-27.0,-270.0,,-108.0,-611.25,254.25,0.41595092024539876,1,-1000.0,-2000.0,150.0,2025-05-02 14:12:00,2025-05-02 14:48:00,2025-05,2025-05
LONG,,,,PULLBACK_1M,,,,,,,,,20176.0,20149.5,-26.5,-265.0,,-106.0,-717.25,254.25,0.35447891251307073,1,-1000.0,-2000.0,150.0,2025-05-08 00:09:00,2025-05-08 01:56:00,2025-05,2025-05
