side,setup_type,bridge_type,setup_tier,entry_variant,planned_entry_price,planned_stop_price,planned_target_price,partial_target_price,runner_target_price,stop_points,tp_points,planned_rr,entry_price,exit_price,realized_points,realized_dollars_5_mnq,return_pct,pnl,cycle_realized_pnl,best_day_pnl_in_cycle,consistency_ratio,prop_daily_loss_limit,prop_max_drawdown_limit,entry_apex_session_date,exit_apex_session_date,calendar_exit_date_et,entry_time_et_naive,exit_time_et_naive,entry_month_et,exit_month_et
LONG,,,,PULLBACK_1M,,,,,,,,,19040.0,19014.0,-26.0,-260.0,-0.00136554621848739,-130.0,-130.0,0.0,0.0,-1000.0,-2000.0,2025-04-13,2025-04-13,2025-04-13,2025-04-13 22:16:00,2025-04-13 23:09:00,2025-04,2025-04
LONG,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,19102.5,19059.55982142857,19256.0,19117.44017857143,19256.0,42.94017857142899,153.5,3.574740606741071,19104.5,19146.0,41.5,415.0,0.002172263079379233,83.0,-47.0,83.0,1.7659574468085106,-1000.0,-2000.0,2025-04-13,2025-04-13,2025-04-14,2025-04-14 02:11:00,2025-04-14 03:50:00,2025-04,2025-04
LONG,,,,PULLBACK_1M,,,,,,,,,19104.5,19104.5,0.0,0.0,0.0,0.0,-47.0,83.0,1.7659574468085106,-1000.0,-2000.0,2025-04-13,2025-04-13,2025-04-14,2025-04-14 02:11:00,2025-04-14 05:17:00,2025-04,2025-04
LONG,,,,PULLBACK_1M,,,,,,,,,18726.25,18690.5,-35.75,-357.5,-0.0019090848407983252,-178.75,-225.75,83.0,0.36766334440753046,-1000.0,-2000.0,2025-04-22,2025-04-22,2025-04-23,2025-04-23 00:32:00,2025-04-23 01:14:00,2025-04,2025-04
LONG,,,,PULLBACK_1M,,,,,,,,,19277.25,19259.75,-17.5,-175.0,-0.0009078058333008565,-87.5,-313.25,83.0,0.2649640861931365,-1000.0,-2000.0,2025-04-23,2025-04-23,2025-04-24,2025-04-24 15:03:00,2025-04-24 15:04:00,2025-04,2025-04
LONG,,,,PULLBACK_1M,,,,,,,,,19457.75,19431.75,-26.0,-260.0,-0.0013362284950726444,-130.0,-443.25,83.0,0.18725324309080654,-1000.0,-2000.0,2025-04-24,2025-04-24,2025-04-24,2025-04-24 20:54:00,2025-04-24 21:20:00,2025-04,2025-04
LONG,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,19384.75,19359.75,19469.75,19409.75,19469.75,25.0,85.0,3.4,19385.0,19413.75,28.75,287.5,0.0014831054939385968,57.5,-385.75,83.0,0.2151652624756967,-1000.0,-2000.0,2025-04-24,2025-04-24,2025-04-24,2025-04-24 22:59:00,2025-04-24 23:23:00,2025-04,2025-04
LONG,,,,PULLBACK_1M,,,,,,,,,19385.0,19469.75,84.75,847.5,0.004371937064740816,254.25,-131.5,254.25,1.9334600760456273,-1000.0,-2000.0,2025-04-24,2025-04-24,2025-04-25,2025-04-24 22:59:00,2025-04-25 00:06:00,2025-04,2025-04
LONG,ASIA_CONTINUATION,C2C3,B,PULLBACK_1M,19544.0,19519.0,19631.0,19569.0,19631.0,25.0,87.0,3.48,19538.5,19564.25,25.75,257.5,0.0013179107915142207,51.5,-80.0,254.25,3.178125,-1000.0,-2000.0,2025-04-28,2025-04-28,2025-04-29,2025-04-29 02:07:00,2025-04-29 02:44:00,2025-04,2025-04
LONG,,,,PULLBACK_1M,,,,,,,,,19538.5,19538.5,0.0,0.0,0.0,0.0,-80.0,254.25,3.178125,-1000.0,-2000.0,2025-04-28,2025-04-28,2025-04-29,2025-04-29 02:07:00,2025-04-29 06:33:00,2025-04,2025-04
