side,setup_type,bridge_type,setup_tier,entry_variant,planned_entry_price,planned_stop_price,planned_target_price,partial_target_price,runner_target_price,stop_points,tp_points,planned_rr,entry_price,exit_price,realized_points,realized_dollars_5_mnq,return_pct,entry_time_et_naive,exit_time_et_naive,entry_month_et,exit_month_et,planned_target_dollars_10_mnq,report_contracts,entry_time_et,exit_time_et,calendar_exit_date_et,exit_apex_session_date,gross_pnl_dollars_dynamic,gross_pnl_dollars_5_mnq,gross_pnl_dollars_10_mnq
LONG,ASIA_CONTINUATION,C2C3,B,PULLBACK_1M,25142.25,25117.25,25241.5,25167.25,25241.5,25.0,99.25,3.97,25142.5,25168.25,25.75,257.5,0.0010241622750322,2025-10-06 20:18:00,2025-10-07 00:09:00,2025-10,2025-10,1985.0,3,2025-10-06 20:18:00,2025-10-07 00:09:00,2025-10-07,2025-10-06,154.5,257.5,515.0
LONG,ASIA_CONTINUATION,C2C3,B,PULLBACK_1M,25142.25,25117.25,25241.5,25167.25,25241.5,25.0,99.25,3.97,25142.5,25142.5,0.0,0.0,0.0,2025-10-06 20:18:00,2025-10-07 02:31:00,2025-10,2025-10,1985.0,3,2025-10-06 20:18:00,2025-10-07 02:31:00,2025-10-07,2025-10-06,0.0,0.0,0.0
SHORT,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,24638.75,24693.666964285716,24410.0,24583.833035714284,24410.0,54.91696428571595,228.75,4.165379550294962,24638.75,24581.25,57.5,575.0,0.0023337222870478,2025-10-17 02:22:00,2025-10-17 02:49:00,2025-10,2025-10,4575.0,3,2025-10-17 02:22:00,2025-10-17 02:49:00,2025-10-17,2025-10-16,345.0,575.0,1150.0
SHORT,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,24638.75,24693.666964285716,24410.0,24583.833035714284,24410.0,54.91696428571595,228.75,4.165379550294962,24638.75,24638.75,0.0,0.0,-0.0,2025-10-17 02:22:00,2025-10-17 07:09:00,2025-10,2025-10,4575.0,3,2025-10-17 02:22:00,2025-10-17 07:09:00,2025-10-17,2025-10-16,0.0,0.0,0.0
LONG,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,25101.25,25074.25,25348.5,25124.25,25348.5,27.0,247.25,9.157407407407408,25101.25,25074.25,-27.0,-270.0,-0.0010756436432448,2025-10-22 22:17:00,2025-10-22 23:42:00,2025-10,2025-10,4945.0,3,2025-10-22 22:17:00,2025-10-22 23:42:00,2025-10-22,2025-10-22,-162.0,-270.0,-540.0
LONG,LONDON_CONTINUATION,C2C3,A,PULLBACK_1M,25345.75,25320.75,25548.75,25370.75,25548.75,25.0,203.0,8.12,25343.75,25370.0,26.25,262.5,0.001035758323058,2025-10-24 04:25:00,2025-10-24 04:49:00,2025-10,2025-10,4060.0,8,2025-10-24 04:25:00,2025-10-24 04:49:00,2025-10-24,2025-10-23,420.0,262.5,525.0
LONG,LONDON_CONTINUATION,C2C3,A,PULLBACK_1M,25345.75,25320.75,25548.75,25370.75,25548.75,25.0,203.0,8.12,25343.75,25548.75,205.0,2050.0,0.0080887792848336,2025-10-24 04:25:00,2025-10-24 12:20:00,2025-10,2025-10,4060.0,8,2025-10-24 04:25:00,2025-10-24 12:20:00,2025-10-24,2025-10-23,3280.0,2050.0,4100.0
LONG,LONDON_CONTINUATION,iFVG,A,PULLBACK_1M,25798.5,25773.5,25995.5,25823.5,25995.5,25.0,197.0,7.88,25799.0,25773.5,-25.5,-255.0,-0.000988410403504,2025-10-27 02:26:00,2025-10-27 04:26:00,2025-10,2025-10,3940.0,8,2025-10-27 02:26:00,2025-10-27 04:26:00,2025-10-27,2025-10-26,-408.0,-255.0,-510.0
LONG,LONDON_CONTINUATION,C2C3,A,PULLBACK_1M,25804.0,25767.07232142857,25995.5,25838.42767857143,25995.5,36.92767857142826,191.5,5.185812036074417,25804.0,25842.25,38.25,382.5,0.0014823283211904,2025-10-27 04:55:00,2025-10-27 06:16:00,2025-10,2025-10,3830.0,8,2025-10-27 04:55:00,2025-10-27 06:16:00,2025-10-27,2025-10-26,612.0,382.5,765.0
LONG,LONDON_CONTINUATION,C2C3,A,PULLBACK_1M,25804.0,25767.07232142857,25995.5,25838.42767857143,25995.5,36.92767857142826,191.5,5.185812036074417,25804.0,25804.0,0.0,0.0,0.0,2025-10-27 04:55:00,2025-10-27 09:35:00,2025-10,2025-10,3830.0,8,2025-10-27 04:55:00,2025-10-27 09:35:00,2025-10-27,2025-10-26,0.0,0.0,0.0
LONG,LONDON_CONTINUATION,iFVG,A,PULLBACK_1M,26288.0,26260.29375,26399.0,26313.20625,26399.0,27.706249999999272,111.0,4.006316264380886,26288.0,26260.29375,-27.706249999999272,-277.0624999999927,-0.001053950471698,2025-10-29 02:29:00,2025-10-29 04:57:00,2025-10,2025-10,2220.0,8,2025-10-29 02:29:00,2025-10-29 04:57:00,2025-10-29,2025-10-28,-443.29999999998836,-277.0624999999927,-554.1249999999854
LONG,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,26292.0,26257.709821428572,26399.0,26319.790178571428,26399.0,34.29017857142753,107.0,3.120427027730859,26291.25,26327.0,35.75,357.5,0.0013597679836447,2025-10-29 21:06:00,2025-10-29 22:09:00,2025-10,2025-10,2140.0,3,2025-10-29 21:06:00,2025-10-29 22:09:00,2025-10-29,2025-10-29,214.5,357.5,715.0
LONG,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,26292.0,26257.709821428572,26399.0,26319.790178571428,26399.0,34.29017857142753,107.0,3.120427027730859,26291.25,26291.25,0.0,0.0,0.0,2025-10-29 21:06:00,2025-10-30 00:10:00,2025-10,2025-10,2140.0,3,2025-10-29 21:06:00,2025-10-30 00:10:00,2025-10-30,2025-10-29,0.0,0.0,0.0
LONG,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,26194.75,26149.98482142857,26399.0,26239.51517857143,26399.0,44.765178571429715,204.25,4.562698206912942,26192.5,26149.98482142857,-42.515178571429715,-425.15178571429715,-0.0016231813905289,2025-10-30 20:29:00,2025-10-31 03:09:00,2025-10,2025-10,4085.0,3,2025-10-30 20:29:00,2025-10-31 03:09:00,2025-10-31,2025-10-30,-255.0910714285783,-425.15178571429715,-850.3035714285943
