exit_apex_session_date,trades,gross_pnl_dollars,gross_points,avg_trade_dollars,win_rate_pct,cumulative_pnl_dollars
2025-04-13,2,-25.0,-2.5,-12.5,50.0,-25.0
2025-04-22,3,190.0,-7.0,63.333333333333336,33.33333333333333,165.0
2025-04-27,4,1420.0,71.0,355.0,75.0,1585.0
2025-04-28,2,185.0,18.5,92.5,50.0,1770.0
2025-04-29,1,-230.0,-23.0,-230.0,0.0,1540.0
2025-04-30,2,230.0,23.0,115.0,50.0,1770.0
2025-05-11,4,3975.0,397.5,993.75,75.0,5745.0
2025-05-13,1,-445.0,-22.25,-445.0,0.0,5300.0
2025-05-14,2,-70.0,-3.5,-35.0,50.0,5230.0
2025-05-15,2,-145.0,-7.25,-72.5,50.0,5085.0
2025-05-19,2,-60.0,-3.0,-30.0,50.0,5025.0
2025-05-25,4,905.0,96.5,226.25,75.0,5930.0
2025-05-26,2,-310.0,-29.75,-155.0,0.0,5620.0
2025-05-27,2,-135.0,-6.75,-67.5,50.0,5485.0
2025-05-28,2,-52.5,-5.25,-26.25,50.0,5432.5
2025-06-01,2,-1065.0,-53.25,-532.5,0.0,4367.5
2025-06-02,2,5495.0,274.75,2747.5,100.0,9862.5
2025-06-04,1,-262.5,-26.25,-262.5,0.0,9600.0
2025-06-08,2,1442.5,144.25,721.25,100.0,11042.5
2025-06-10,2,197.5,19.75,98.75,50.0,11240.0
2025-06-15,2,1247.5,124.75,623.75,100.0,12487.5
2025-06-17,2,952.5,95.25,476.25,100.0,13440.0
2025-06-19,2,192.5,19.25,96.25,50.0,13632.5
2025-06-22,2,4180.0,209.0,2090.0,100.0,17812.5
2025-06-24,2,410.0,20.5,205.0,50.0,18222.5
2025-06-25,4,-207.14285714282596,37.7678571428587,-51.78571428570649,50.0,18015.357142857174
2025-06-26,2,945.0,94.5,472.5,100.0,18960.357142857174
2025-06-29,1,-522.5,-26.125,-522.5,0.0,18437.857142857174
2025-07-06,2,-115.0,-5.75,-57.5,50.0,18322.857142857174
2025-07-07,2,195.0,19.5,97.5,50.0,18517.857142857174
2025-07-09,2,212.5,21.25,106.25,50.0,18730.357142857174
2025-07-16,2,2032.5,203.25,1016.25,100.0,20762.857142857174
2025-07-20,1,-257.5,-25.75,-257.5,0.0,20505.357142857174
2025-07-21,1,-495.0,-24.75,-495.0,0.0,20010.357142857174
2025-07-22,2,-57.5,-5.75,-28.75,50.0,19952.857142857174
2025-07-24,1,-510.0,-25.5,-510.0,0.0,19442.857142857174
2025-07-27,2,905.0,45.25,452.5,100.0,20347.857142857174
2025-07-28,2,967.5,96.75,483.75,100.0,21315.357142857174
2025-07-30,2,-42.5,-4.25,-21.25,50.0,21272.857142857174
2025-08-06,2,970.0,97.0,485.0,100.0,22242.857142857174
2025-08-10,1,-505.0,-25.25,-505.0,0.0,21737.857142857174
2025-08-12,2,947.5,94.75,473.75,100.0,22685.357142857174
2025-08-27,2,-55.46428571429715,-5.546428571429715,-27.732142857148574,50.0,22629.892857142877
2025-08-31,2,780.0,39.0,390.0,100.0,23409.892857142877
2025-09-01,2,400.0,20.0,200.0,50.0,23809.892857142877
2025-09-04,2,-45.0,-4.5,-22.5,50.0,23764.892857142877
2025-09-09,3,162.5,-6.25,54.166666666666664,33.33333333333333,23927.392857142877
2025-09-10,2,-90.0,-9.0,-45.0,50.0,23837.392857142877
2025-09-11,1,470.0,23.5,470.0,100.0,24307.392857142877
2025-09-13,1,1775.0,88.75,1775.0,100.0,26082.392857142877
2025-09-14,2,4000.0,200.0,2000.0,100.0,30082.392857142877
2025-09-15,1,-220.0,-22.0,-220.0,0.0,29862.392857142877
2025-09-17,1,-570.0,-28.5,-570.0,0.0,29292.392857142877
2025-09-18,2,200.0,20.0,100.0,50.0,29492.392857142877
2025-09-21,1,105.0,5.25,105.0,100.0,29597.392857142877
2025-09-25,1,-257.5,-25.75,-257.5,0.0,29339.892857142877
2025-09-28,2,935.0,93.5,467.5,100.0,30274.892857142877
2025-10-01,3,120.0,-7.0,40.0,33.33333333333333,30394.892857142877
2025-10-02,2,-498.81249999998545,-49.881249999998545,-249.40624999999272,0.0,29896.08035714289
2025-10-06,2,370.0,18.5,185.0,50.0,30266.08035714289
2025-10-07,2,425.0,21.25,212.5,100.0,30691.08035714289
2025-10-09,1,-585.0,-29.25,-585.0,0.0,30106.08035714289
2025-10-16,2,282.5,28.25,141.25,50.0,30388.58035714289
2025-10-20,1,-465.0,-23.25,-465.0,0.0,29923.58035714289
2025-10-23,2,197.5,19.75,98.75,50.0,30121.08035714289
2025-10-26,2,952.5,95.25,476.25,100.0,31073.58035714289
2025-10-27,2,4125.0,206.25,2062.5,100.0,35198.58035714289
2025-10-28,2,222.5,22.25,111.25,50.0,35421.08035714289
2025-10-30,3,-417.1785714285579,-32.71785714285579,-139.0595238095193,33.33333333333333,35003.90178571433
2025-11-02,2,202.5,20.25,101.25,50.0,35206.40178571433
2025-11-06,2,950.0,95.0,475.0,100.0,36156.40178571433
2025-11-13,2,590.0,29.5,295.0,50.0,36746.40178571433
2025-11-16,1,-525.839285714319,-26.29196428571595,-525.839285714319,0.0,36220.562500000015
2025-11-17,2,1495.0,74.75,747.5,100.0,37715.562500000015
2025-11-25,2,135.25000000001455,6.762500000000728,67.62500000000728,50.0,37850.81250000003
2025-11-26,1,390.0,19.5,390.0,100.0,38240.81250000003
2025-11-27,1,700.0,35.0,700.0,100.0,38940.81250000003
2025-11-30,2,910.0,45.5,455.0,100.0,39850.81250000003
2025-12-01,5,797.5,36.25,159.5,60.0,40648.31250000003
2025-12-02,1,-252.5,-25.25,-252.5,0.0,40395.81250000003
2025-12-04,1,-307.5,-30.75,-307.5,0.0,40088.31250000003
2025-12-07,2,-770.0,-50.5,-385.0,0.0,39318.31250000003
2025-12-09,1,-252.5,-25.25,-252.5,0.0,39065.81250000003
2025-12-21,2,415.0,20.75,207.5,50.0,39480.81250000003
2025-12-22,1,-490.0,-24.5,-490.0,0.0,38990.81250000003
2025-12-23,2,942.5,94.25,471.25,100.0,39933.31250000003
2025-12-25,2,217.5,21.75,108.75,50.0,40150.81250000003
2026-01-01,1,-240.0,-24.0,-240.0,0.0,39910.81250000003
2026-01-05,1,-290.0,-29.0,-290.0,0.0,39620.81250000003
2026-01-06,2,662.5,66.25,331.25,100.0,40283.31250000003
2026-01-12,2,1325.0,66.25,662.5,50.0,41608.31250000003
2026-01-14,2,445.0,22.25,222.5,50.0,42053.31250000003
2026-01-15,2,-52.5,-5.25,-26.25,50.0,42000.81250000003
2026-01-19,2,242.5,24.25,121.25,50.0,42243.31250000003
2026-01-25,4,5320.0,262.75,1330.0,75.0,47563.31250000003
2026-01-26,2,197.5,19.75,98.75,50.0,47760.81250000003
2026-01-27,1,-318.6517857142826,-31.86517857142826,-318.6517857142826,0.0,47442.16071428575
2026-02-03,2,8285.0,414.25,4142.5,100.0,55727.16071428575
2026-02-10,2,215.0,21.5,107.5,50.0,55942.16071428575
2026-02-16,2,530.0,26.5,265.0,50.0,56472.16071428575
2026-02-18,2,305.0,30.5,152.5,50.0,56777.16071428575
2026-02-19,1,-490.0,-24.5,-490.0,0.0,56287.16071428575
2026-02-25,3,-982.5,-73.5,-327.5,0.0,55304.66071428575
2026-03-02,2,2870.0,287.0,1435.0,100.0,58174.66071428575
2026-03-04,2,392.5,39.25,196.25,100.0,58567.16071428575
2026-03-12,3,1205.3749999999854,153.14374999999927,401.7916666666618,66.66666666666666,59772.53571428573
2026-03-18,2,-502.5,-50.25,-251.25,0.0,59270.03571428573
2026-03-19,2,3145.0,157.25,1572.5,100.0,62415.03571428573
2026-03-22,2,200.0,20.0,100.0,50.0,62615.03571428573
