side,setup_type,bridge_type,setup_tier,entry_variant,planned_entry_price,planned_stop_price,planned_target_price,partial_target_price,runner_target_price,stop_points,tp_points,planned_rr,entry_price,exit_price,realized_points,realized_dollars_5_mnq,return_pct,pnl,cycle_realized_pnl,best_day_pnl_in_cycle,consistency_ratio,qualifying_days_count,prop_daily_loss_limit,prop_max_drawdown_limit,prop_qualifying_day_target,entry_time_et,exit_time_et,entry_apex_session_date,exit_apex_session_date,calendar_exit_date_et,entry_month_et,exit_month_et,realized_dollars_10_mnq,report_contracts,realized_dollars_dynamic_contracts,entry_time_et_naive,exit_time_et_naive
LONG,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,19096.0,19065.25,19165.25,19109.0,19165.25,30.75,69.25,2.252032520325203,19094.5,19121.25,26.75,267.5,0.0014009269684986947,26.75,26.75,26.75,1.0,,-1000.0,-2000.0,,2025-04-13 20:47:30-04:00,2025-04-13 20:49:00-04:00,2025-04-13,2025-04-13,2025-04-13,2025-04,2025-04,535.0,5,267.5,2025-04-13 20:47:30,2025-04-13 20:49:00
LONG,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,19096.0,19065.25,19165.25,19109.0,19165.25,30.75,69.25,2.252032520325203,19094.5,19065.25,-29.25,-292.5,-0.0015318547225641188,-117.0,-90.25,26.75,0.296398891966759,,-1000.0,-2000.0,,2025-04-13 20:47:30-04:00,2025-04-13 22:00:00-04:00,2025-04-13,2025-04-13,2025-04-13,2025-04,2025-04,-585.0,5,-292.5,2025-04-13 20:47:30,2025-04-13 22:00:00
LONG,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,18747.5,18715.0,18815.0,18758.75,18815.0,32.5,67.5,2.076923076923077,18748.0,18715.0,-33.0,-330.0,-0.0017601877533603982,-165.0,-255.25,26.75,0.10479921645445642,,-1000.0,-2000.0,,2025-04-22 22:22:00-04:00,2025-04-22 23:11:00-04:00,2025-04-22,2025-04-22,2025-04-22,2025-04,2025-04,-660.0,5,-330.0,2025-04-22 22:22:00,2025-04-22 23:11:00
LONG,LONDON_CONTINUATION,iFVG,A,PULLBACK_1M,18878.0,18848.123214285715,19165.5,18900.407589285714,19165.5,29.87678571428478,287.5,9.622855776702233,18878.0,18904.0,26.0,260.0,0.001377264540735279,26.0,-229.25,26.75,0.11668484187568157,,-1000.0,-2000.0,,2025-04-23 02:28:30-04:00,2025-04-23 02:45:30-04:00,2025-04-22,2025-04-22,2025-04-23,2025-04,2025-04,520.0,10,520.0,2025-04-23 02:28:30,2025-04-23 02:45:30
LONG,LONDON_CONTINUATION,iFVG,A,PULLBACK_1M,18878.0,18848.123214285715,19165.5,18900.407589285714,19165.5,29.87678571428478,287.5,9.622855776702233,18878.0,18878.0,0.0,0.0,0.0,0.0,-229.25,26.75,0.11668484187568157,,-1000.0,-2000.0,,2025-04-23 02:28:30-04:00,2025-04-23 03:30:00-04:00,2025-04-22,2025-04-22,2025-04-23,2025-04,2025-04,0.0,10,0.0,2025-04-23 02:28:30,2025-04-23 03:30:00
LONG,LONDON_CONTINUATION,iFVG,A,PULLBACK_1M,19543.25,19515.25,19623.0,19559.0,19623.0,28.0,79.75,2.8482142857142856,19542.75,19564.75,22.0,220.0,0.0011257371659567639,22.0,-207.25,26.75,0.12907117008443908,,-1000.0,-2000.0,,2025-04-28 04:48:00-04:00,2025-04-28 05:16:30-04:00,2025-04-27,2025-04-27,2025-04-28,2025-04,2025-04,440.0,10,440.0,2025-04-28 04:48:00,2025-04-28 05:16:30
LONG,LONDON_CONTINUATION,iFVG,A,PULLBACK_1M,19543.25,19515.25,19623.0,19559.0,19623.0,28.0,79.75,2.8482142857142856,19542.75,19515.25,-27.5,-275.0,-0.0014071714574458438,-110.0,-317.25,26.75,0.08431836091410559,,-1000.0,-2000.0,,2025-04-28 04:48:00-04:00,2025-04-28 05:33:30-04:00,2025-04-27,2025-04-27,2025-04-28,2025-04,2025-04,-550.0,10,-550.0,2025-04-28 04:48:00,2025-04-28 05:33:30
LONG,NYPM_CONTINUATION,iFVG,A,PULLBACK_1M,19508.25,19478.470535714285,19623.0,19530.584598214286,19623.0,29.77946428571522,114.75,3.8533265373428467,19503.25,19526.5,23.25,232.5,0.00119210900747313,23.25,-294.0,26.75,0.09098639455782313,,-1000.0,-2000.0,,2025-04-28 15:04:30-04:00,2025-04-28 15:55:00-04:00,2025-04-27,2025-04-27,2025-04-28,2025-04,2025-04,465.0,10,465.0,2025-04-28 15:04:30,2025-04-28 15:55:00
LONG,NYPM_CONTINUATION,iFVG,A,PULLBACK_1M,19508.25,19478.470535714285,19623.0,19530.584598214286,19623.0,29.77946428571522,114.75,3.8533265373428467,19503.25,19556.5,53.25,532.5,0.002730314178406079,213.0,-81.0,148.25,1.8302469135802468,,-1000.0,-2000.0,,2025-04-28 15:04:30-04:00,2025-04-28 16:55:30-04:00,2025-04-27,2025-04-27,2025-04-28,2025-04,2025-04,1065.0,10,1065.0,2025-04-28 15:04:30,2025-04-28 16:55:30
LONG,ASIA_CONTINUATION,C2C3,B,PULLBACK_1M,19544.0,19519.0,19623.0,19562.75,19623.0,25.0,79.0,3.16,19538.5,19557.0,18.5,185.0,0.000946848529825628,18.5,-62.5,166.75,2.668,,-1000.0,-2000.0,,2025-04-28 22:06:30-04:00,2025-04-28 22:36:00-04:00,2025-04-28,2025-04-28,2025-04-28,2025-04,2025-04,370.0,5,185.0,2025-04-28 22:06:30,2025-04-28 22:36:00
