exit_month_et,trades,gross_pnl_dollars,gross_points,avg_trade_dollars,avg_points_per_trade,win_rate_pct,trading_days,green_days,red_days,worst_day_dollars,best_day_dollars,avg_day_dollars,soft_loss_cap_breach_days,cumulative_pnl_dollars,account_balance_est,month_green,strong_month_flag,equity_peak_est,drawdown_from_peak_dollars
2025-04,11,73.75,105.5,6.704545454545454,9.590909090909092,54.54545454545454,5,3,3,-303.75,262.75,-7.708333333333333,0,73.75,50073.75,True,False,50073.75,0.0
2025-05,20,792.25,421.5,39.6125,21.075,50.0,10,3,6,-141.0,1160.25,101.36111111111111,0,866.0,50866.0,True,False,50866.0,0.0
2025-06,28,1048.0714285714348,570.8928571428587,37.431122448979814,20.389030612244955,53.57142857142857,14,8,6,-206.0,799.0,74.86224489795963,0,1914.0714285714348,51914.071428571435,True,False,51914.071428571435,0.0
2025-07,24,728.5,412.0,30.354166666666668,17.166666666666668,62.5,13,6,7,-102.0,568.75,56.03846153846154,0,2642.571428571435,52642.571428571435,True,False,52642.571428571435,0.0
2025-08,7,162.7928571428638,110.63571428571595,23.25612244898054,15.805102040816564,57.14285714285714,5,3,3,-122.4571428571362,247.0,39.2154761904773,0,2805.3642857142986,52805.3642857143,True,False,52805.3642857143,0.0
2025-09,27,900.5,500.25,33.351851851851855,18.52777777777778,62.96296296296296,16,9,6,-123.0,555.5,55.2,0,3705.8642857142986,53705.8642857143,True,False,53705.8642857143,0.0
2025-10,26,520.202678571437,411.15089285714566,20.007795329670653,15.813495879120987,53.84615384615385,13,9,4,-139.89374999999563,394.5,40.015590659341306,0,4226.066964285736,54226.06696428574,True,False,54226.06696428574,0.0
2025-11,15,302.5696428571391,257.8267857142855,20.171309523809274,17.188452380952366,66.66666666666666,9,7,3,-105.1678571428638,168.75,38.53196428571391,0,4528.636607142875,54528.63660714288,True,False,54528.63660714288,0.0
2025-12,25,-27.27946428571522,164.74017857142826,-1.0911785714286089,6.589607142857131,56.00000000000001,11,4,6,-230.27946428571522,171.5,-11.002946428571523,0,4501.3571428571595,54501.35714285716,False,False,54528.63660714288,-27.27946428571886
2026-01,28,575.4044642857152,514.6348214285717,20.550159438775545,18.37981505102042,57.14285714285714,12,7,5,-118.84553571428478,449.5,47.9503720238096,0,5076.761607142875,55076.76160714288,True,False,55076.76160714288,0.0
2026-02,11,1116.5,697.75,101.5,63.43181818181818,54.54545454545454,7,4,3,-123.0,812.75,159.5,0,6193.261607142875,56193.26160714288,True,False,56193.26160714288,0.0
2026-03,23,2168.496428571423,944.3741071428558,94.28245341614884,41.059743788819816,65.21739130434783,10,7,3,-328.0,1642.75,216.84964285714233,0,8361.758035714298,58361.7580357143,True,False,58361.7580357143,0.0
2026-04,2,21.75,21.75,10.875,10.875,50.0,1,1,0,21.75,21.75,21.75,0,8383.508035714298,58383.5080357143,True,False,58383.5080357143,0.0
