side,setup_type,bridge_type,setup_tier,entry_variant,planned_entry_price,planned_stop_price,planned_target_price,partial_target_price,runner_target_price,stop_points,tp_points,planned_rr,entry_price,exit_price,realized_points,realized_dollars_5_mnq,return_pct,pnl,cycle_realized_pnl,best_day_pnl_in_cycle,consistency_ratio,qualifying_days_count,prop_daily_loss_limit,prop_max_drawdown_limit,prop_qualifying_day_target,entry_time_et,exit_time_et,entry_apex_session_date,exit_apex_session_date,calendar_exit_date_et,entry_time_et_naive,exit_time_et_naive,entry_month_et,exit_month_et,realized_dollars_10_mnq,report_contracts,realized_dollars_dynamic_contracts
LONG,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,19094.75,19069.75,19169.75,19113.5,19169.75,25.0,75.0,3.0,19094.75,19069.75,-25.0,-250.0,-0.001309260398800749,-125.0,-125.0,0.0,0.0,,-1000.0,-2000.0,,2025-04-13 21:47:00-04:00,2025-04-13 22:00:00-04:00,2025-04-13,2025-04-13,2025-04-13,2025-04-13 21:47:00,2025-04-13 22:00:00,2025-04,2025-04,-500.0,5,-125.0
LONG,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,18741.25,18715.0,18815.0,18758.75,18815.0,26.25,73.75,2.8095238095238093,18742.25,18715.0,-27.25,-272.5,-0.0014539342928410193,-136.25,-261.25,0.0,0.0,,-1000.0,-2000.0,,2025-04-22 22:43:00-04:00,2025-04-22 23:11:00-04:00,2025-04-22,2025-04-22,2025-04-22,2025-04-22 22:43:00,2025-04-22 23:11:00,2025-04,2025-04,-545.0,5,-136.25
LONG,LONDON_CONTINUATION,iFVG,A,PULLBACK_1M,18895.25,18861.5,19165.5,18905.25,19165.5,33.75,270.25,8.007407407407408,18895.0,18861.5,-33.5,-335.0,-0.0017729558084149666,-167.5,-428.75,0.0,0.0,,-1000.0,-2000.0,,2025-04-23 03:37:00-04:00,2025-04-23 03:59:00-04:00,2025-04-22,2025-04-22,2025-04-23,2025-04-23 03:37:00,2025-04-23 03:59:00,2025-04,2025-04,-670.0,10,-167.5
LONG,NYPM_CONTINUATION,iFVG,A,PULLBACK_1M,19508.25,19478.470535714285,19623.0,19530.584598214286,19623.0,29.77946428571522,114.75,3.8533265373428467,19497.5,19520.25,22.75,227.5,0.001166816258494574,22.75,-406.0,22.75,0.05603448275862069,,-1000.0,-2000.0,,2025-04-28 15:05:00-04:00,2025-04-28 15:17:00-04:00,2025-04-27,2025-04-27,2025-04-28,2025-04-28 15:05:00,2025-04-28 15:17:00,2025-04,2025-04,455.0,5,22.75
LONG,NYPM_CONTINUATION,iFVG,A,PULLBACK_1M,19508.25,19478.470535714285,19623.0,19530.584598214286,19623.0,29.77946428571522,114.75,3.8533265373428467,19497.5,19557.5,60.0,600.0,0.003077317604821106,240.0,-166.0,262.75,1.5828313253012047,,-1000.0,-2000.0,,2025-04-28 15:05:00-04:00,2025-04-28 16:56:00-04:00,2025-04-27,2025-04-27,2025-04-28,2025-04-28 15:05:00,2025-04-28 16:56:00,2025-04,2025-04,1200.0,5,240.0
LONG,ASIA_CONTINUATION,C2C3,B,PULLBACK_1M,19544.0,19519.0,19623.0,19562.75,19623.0,25.0,79.0,3.16,19538.5,19557.0,18.5,185.0,0.000946848529825628,18.5,-147.5,281.25,1.9067796610169492,,-1000.0,-2000.0,,2025-04-28 22:07:00-04:00,2025-04-28 22:36:00-04:00,2025-04-28,2025-04-28,2025-04-28,2025-04-28 22:07:00,2025-04-28 22:36:00,2025-04,2025-04,370.0,5,18.5
LONG,ASIA_CONTINUATION,C2C3,B,PULLBACK_1M,19544.0,19519.0,19623.0,19562.75,19623.0,25.0,79.0,3.16,19538.5,19538.5,0.0,0.0,0.0,0.0,-147.5,281.25,1.9067796610169492,,-1000.0,-2000.0,,2025-04-28 22:07:00-04:00,2025-04-29 02:33:00-04:00,2025-04-28,2025-04-28,2025-04-29,2025-04-28 22:07:00,2025-04-29 02:33:00,2025-04,2025-04,0.0,5,0.0
LONG,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,19564.5,19539.5,19688.5,19583.25,19688.5,25.0,124.0,4.96,19563.0,19588.25,25.25,252.5,0.0012907018350969413,25.25,-122.25,281.25,2.3006134969325154,,-1000.0,-2000.0,,2025-04-29 22:58:00-04:00,2025-04-29 23:14:00-04:00,2025-04-29,2025-04-29,2025-04-29,2025-04-29 22:58:00,2025-04-29 23:14:00,2025-04,2025-04,505.0,5,25.25
LONG,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,19564.5,19539.5,19688.5,19583.25,19688.5,25.0,124.0,4.96,19563.0,19563.0,0.0,0.0,0.0,0.0,-122.25,281.25,2.3006134969325154,,-1000.0,-2000.0,,2025-04-29 22:58:00-04:00,2025-04-30 02:30:00-04:00,2025-04-29,2025-04-29,2025-04-30,2025-04-29 22:58:00,2025-04-30 02:30:00,2025-04,2025-04,0.0,5,0.0
LONG,NYPM_CONTINUATION,MSS,A,PULLBACK_1M,19892.25,19866.0,19976.5,19909.75,19976.5,26.25,84.25,3.2095238095238097,19891.25,19912.25,21.0,210.0,0.001055740589455123,21.0,-101.25,281.25,2.7777777777777777,,-1000.0,-2000.0,,2025-04-30 14:56:00-04:00,2025-04-30 15:25:00-04:00,2025-04-29,2025-04-29,2025-04-30,2025-04-30 14:56:00,2025-04-30 15:25:00,2025-04,2025-04,420.0,5,21.0
LONG,NYPM_CONTINUATION,MSS,A,PULLBACK_1M,19892.25,19866.0,19976.5,19909.75,19976.5,26.25,84.25,3.2095238095238097,19891.25,19935.0,43.75,437.5,0.0021994595613650247,175.0,73.75,281.25,3.8135593220338984,,-1000.0,-2000.0,,2025-04-30 14:56:00-04:00,2025-04-30 16:56:00-04:00,2025-04-29,2025-04-29,2025-04-30,2025-04-30 14:56:00,2025-04-30 16:56:00,2025-04,2025-04,875.0,5,175.0
LONG,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,20008.5,19979.5,20125.75,20023.25,20125.75,29.0,117.25,4.043103448275862,20009.5,19979.5,-30.0,-300.0,-0.0014992878382767971,-120.0,-46.25,281.25,6.081081081081081,,-1000.0,-2000.0,,2025-05-01 02:08:00-04:00,2025-05-01 04:30:00-04:00,2025-04-30,2025-04-30,2025-05-01,2025-05-01 02:08:00,2025-05-01 04:30:00,2025-05,2025-05,-600.0,5,-120.0
LONG,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,20552.5,20527.5,20930.75,20571.25,20930.75,25.0,378.25,15.13,20551.75,20575.0,23.25,232.5,0.0011312905227047754,23.25,-23.0,281.25,12.228260869565217,,-1000.0,-2000.0,,2025-05-11 21:44:00-04:00,2025-05-11 22:28:00-04:00,2025-05-11,2025-05-11,2025-05-11,2025-05-11 21:44:00,2025-05-11 22:28:00,2025-05,2025-05,465.0,5,23.25
LONG,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,20552.5,20527.5,20930.75,20571.25,20930.75,25.0,378.25,15.13,20551.75,20930.75,379.0,3790.0,0.018441251961511806,1137.0,1114.0,1160.25,1.0415170556552962,,-1000.0,-2000.0,,2025-05-11 21:44:00-04:00,2025-05-12 02:30:00-04:00,2025-05-11,2025-05-11,2025-05-12,2025-05-11 21:44:00,2025-05-12 02:30:00,2025-05,2025-05,7580.0,5,1137.0
