exit_apex_session_date,trades,gross_pnl_dollars,gross_points,avg_trade_dollars,win_rate_pct,cumulative_pnl_dollars
2025-04-13,1,-125.0,-25.0,-125.0,0.0,-125.0
2025-04-22,1,-136.25,-27.25,-136.25,0.0,-261.25
2025-04-27,2,273.0,93.0,136.5,100.0,11.75
2025-04-28,2,25.75,25.75,12.875,50.0,37.5
2025-04-29,4,229.25,98.0,57.3125,75.0,266.75
2025-04-30,1,-120.0,-30.0,-120.0,0.0,146.75
2025-05-11,2,1163.75,405.75,581.875,100.0,1310.5
2025-05-13,1,-90.0,-22.5,-90.0,0.0,1220.5
2025-05-15,2,-60.25,0.25,-30.125,50.0,1160.25
2025-05-19,1,-91.0,-22.75,-91.0,0.0,1069.25
2025-05-25,2,279.25,121.25,139.625,100.0,1348.5
2025-05-26,1,-132.0,-33.0,-132.0,0.0,1216.5
2025-05-27,2,31.5,31.5,15.75,50.0,1248.0
2025-05-28,1,-99.0,-24.75,-99.0,0.0,1149.0
2025-06-01,2,-206.0,-51.5,-103.0,0.0,943.0
2025-06-02,2,785.5,284.5,392.75,100.0,1728.5
2025-06-04,1,-143.0,-35.75,-143.0,0.0,1585.5
2025-06-08,2,27.0,27.0,13.5,50.0,1612.5
2025-06-10,2,25.5,25.5,12.75,50.0,1638.0
2025-06-11,1,-106.0,-26.5,-106.0,0.0,1532.0
2025-06-15,2,346.75,137.25,173.375,100.0,1878.75
2025-06-17,2,28.0,28.0,14.0,50.0,1906.75
2025-06-19,2,-46.25,3.25,-23.125,50.0,1860.5
2025-06-22,2,162.25,74.75,81.125,100.0,2022.75
2025-06-24,2,28.25,28.25,14.125,50.0,2051.0
2025-06-25,3,-104.92857142856519,-6.732142857141298,-34.9761904761884,33.33333333333333,1946.0714285714348
2025-06-26,2,288.5,113.5,144.25,100.0,2234.571428571435
2025-06-29,1,-104.5,-26.125,-104.5,0.0,2130.071428571435
2025-07-02,2,-56.5,0.5,-28.25,50.0,2073.571428571435
2025-07-06,2,-49.25,0.25,-24.625,50.0,2024.3214285714348
2025-07-07,2,-44.75,2.25,-22.375,50.0,1979.5714285714348
2025-07-09,2,-55.5,2.0,-27.75,50.0,1924.0714285714348
