side,setup_type,bridge_type,setup_tier,entry_variant,planned_entry_price,planned_stop_price,planned_target_price,partial_target_price,runner_target_price,stop_points,tp_points,planned_rr,entry_price,exit_price,realized_points,realized_dollars_5_mnq,return_pct,pnl,cycle_realized_pnl,best_day_pnl_in_cycle,consistency_ratio,qualifying_days_count,prop_daily_loss_limit,prop_max_drawdown_limit,prop_qualifying_day_target,entry_time_et,exit_time_et,entry_apex_session_date,exit_apex_session_date,calendar_exit_date_et,entry_time_et_naive,exit_time_et_naive,entry_month_et,exit_month_et,realized_dollars_10_mnq,report_contracts,realized_dollars_dynamic_contracts,planned_target_dollars_10_mnq,gross_pnl_dollars_dynamic,gross_points
LONG,LONDON_CONTINUATION,iFVG,A,PULLBACK_1M,18895.25,18861.5,19165.5,18905.25,19165.5,33.75,270.25,8.007407407407408,18895.0,18861.5,-33.5,-335.0,-0.0017729558084149,-167.5,-428.75,0.0,0.0,,-1000.0,-2000.0,,2025-04-23 03:37:00-04:00,2025-04-23 03:59:00-04:00,2025-04-22,2025-04-22,2025-04-23,2025-04-23 03:37:00,2025-04-23 03:59:00,2025-04,2025-04,-670.0,10,-167.5,5410.0,-670.0,-33.5
LONG,LONDON_CONTINUATION,iFVG,A,PULLBACK_1M,21497.0,21469.25,21849.5,21513.0,21849.5,27.75,352.5,12.702702702702704,21496.5,21469.25,-27.25,-272.5,-0.0012676482218035,-81.75,465.0,1160.25,2.4951612903225806,,-1000.0,-2000.0,,2025-05-28 03:29:00-04:00,2025-05-28 05:50:00-04:00,2025-05-27,2025-05-27,2025-05-28,2025-05-28 03:29:00,2025-05-28 05:50:00,2025-05,2025-05,-545.0,10,-81.75,7060.0,-545.0,-27.25
LONG,LONDON_CONTINUATION,iFVG,A,PULLBACK_1M,21292.25,21266.75,21525.75,21310.5,21525.75,25.5,233.5,9.15686274509804,21291.75,21266.75,-25.0,-250.0,-0.0011741637019033,-100.0,310.75,1160.25,3.733708769106999,,-1000.0,-2000.0,,2025-06-02 04:46:00-04:00,2025-06-02 04:51:00-04:00,2025-06-01,2025-06-01,2025-06-02,2025-06-02 04:46:00,2025-06-02 04:51:00,2025-06,2025-06,-500.0,10,-100.0,4680.0,-500.0,-25.0
LONG,LONDON_CONTINUATION,iFVG,A,PULLBACK_1M,21293.5,21266.75,21525.75,21310.5,21525.75,26.75,232.25,8.682242990654206,21293.25,21266.75,-26.5,-265.0,-0.0012445258473929,-106.0,204.75,1160.25,5.666666666666667,,-1000.0,-2000.0,,2025-06-02 05:01:00-04:00,2025-06-02 05:05:00-04:00,2025-06-01,2025-06-01,2025-06-02,2025-06-02 05:01:00,2025-06-02 05:05:00,2025-06,2025-06,-530.0,10,-106.0,4650.0,-530.0,-26.5
LONG,LONDON_CONTINUATION,C2C3,A,PULLBACK_1M,21939.25,21914.25,22106.0,21958.0,22106.0,25.0,166.75,6.67,21934.0,21914.25,-19.75,-197.5,-0.0009004285584024,-79.0,1156.5,1160.25,1.003242542153048,,-1000.0,-2000.0,,2025-06-11 03:56:00-04:00,2025-06-11 04:04:00-04:00,2025-06-10,2025-06-10,2025-06-11,2025-06-11 03:56:00,2025-06-11 04:04:00,2025-06,2025-06,-395.0,10,-79.0,3440.0,-395.0,-19.75
LONG,NYPM_CONTINUATION,iFVG,A,PULLBACK_1M,21881.25,21856.25,22106.0,21900.0,22106.0,25.0,224.75,8.99,21882.75,21856.25,-26.5,-265.0,-0.0012109995315945,-106.0,1050.5,1160.25,1.1044740599714422,,-1000.0,-2000.0,,2025-06-12 14:49:00-04:00,2025-06-12 15:41:00-04:00,2025-06-11,2025-06-11,2025-06-12,2025-06-12 14:49:00,2025-06-12 15:41:00,2025-06,2025-06,-530.0,10,-106.0,4465.0,-530.0,-26.5
LONG,NYPM_CONTINUATION,MSS,A,PULLBACK_1M,22197.75,22168.930357142857,22384.5,22218.052232142854,22384.5,28.819642857142753,186.75,6.479955387570505,22196.75,22227.75,31.0,310.0,0.0013966008537285,31.0,1399.5,1160.25,0.8290460878885316,,-1000.0,-2000.0,,2025-06-23 14:59:00-04:00,2025-06-23 15:02:00-04:00,2025-06-22,2025-06-22,2025-06-23,2025-06-23 14:59:00,2025-06-23 15:02:00,2025-06,2025-06,620.0,10,31.0,3755.0,620.0,31.0
LONG,NYPM_CONTINUATION,MSS,A,PULLBACK_1M,22197.75,22168.930357142857,22384.5,22218.052232142854,22384.5,28.819642857142753,186.75,6.479955387570505,22196.75,22240.5,43.75,437.5,0.0019710092693749,131.25,1530.75,1160.25,0.7579617834394905,,-1000.0,-2000.0,,2025-06-23 14:59:00-04:00,2025-06-23 16:56:00-04:00,2025-06-22,2025-06-22,2025-06-23,2025-06-23 14:59:00,2025-06-23 16:56:00,2025-06,2025-06,875.0,10,131.25,3755.0,875.0,43.75
SHORT,LONDON_CONTINUATION,iFVG,A,PULLBACK_1M,23234.5,23259.5,23025.25,23215.75,23025.25,25.0,209.25,8.37,23236.5,23207.75,28.75,287.5,0.0012372775590127,28.75,1540.6142857142986,1160.25,0.7531086857746847,,-1000.0,-2000.0,,2025-09-02 03:06:00-04:00,2025-09-02 04:02:00-04:00,2025-09-01,2025-09-01,2025-09-02,2025-09-02 03:06:00,2025-09-02 04:02:00,2025-09,2025-09,575.0,10,28.75,4225.0,575.0,28.75
SHORT,LONDON_CONTINUATION,iFVG,A,PULLBACK_1M,23234.5,23259.5,23025.25,23215.75,23025.25,25.0,209.25,8.37,23236.5,23236.5,0.0,0.0,-0.0,-0.0,1540.6142857142986,1160.25,0.7531086857746847,,-1000.0,-2000.0,,2025-09-02 03:06:00-04:00,2025-09-02 05:51:00-04:00,2025-09-01,2025-09-01,2025-09-02,2025-09-02 03:06:00,2025-09-02 05:51:00,2025-09,2025-09,0.0,10,-0.0,4225.0,0.0,0.0
